battery_power,m_dep,mobile_wt,px_height,px_width,ram,sc_h,sc_w,talk_time,bluetooth,gen,cores,speed,sim,f_camera,camera,memory,screen,wifi,price,resolution,DPI_w,call_ratio,cores_ord,speed_ord,sim_ord,wifi_ord,bluetooth_bin,screen_bin
842,0.6,188,20,756,2549,9,7,19,No,2,dual,medium,Single,1.0,2.0,7.57,LCD,g,751.64,168.48,274.32,44.32,2,2,0,4,0,0
1021,0.7,136,905,1988,2631,17,3,7,Yes,4,triple,low,Dual,,6.0,53.76,Touch,none,885.17,321.39,1683.17,145.86,3,1,1,1,1,1
563,0.9,145,1263,1716,2603,11,2,9,Yes,4,penta,low,Dual,2.0,6.0,41.14,Touch,none,1067.78,484.06,2179.32,62.56,5,1,1,1,1,1
615,0.8,131,1216,1786,2769,16,8,11,Yes,3,hexa,high,Single,,9.0,10.56,LCD,none,819.22,306.79,567.06,55.91,6,3,0,1,1,0
1821,0.6,141,1208,1212,1411,8,2,15,Yes,4,dual,medium,Single,13.0,14.0,44.44,Touch,none,1023.13,527.08,1539.24,121.4,2,2,0,1,1,1
1859,0.7,164,1004,1654,1067,17,1,10,No,3,single,low,Dual,3.0,7.0,22.63,LCD,none,877.77,288.59,4201.16,185.9,1,1,1,1,0,0
1821,0.8,139,381,1018,3220,13,8,18,No,4,octa,medium,Single,4.0,10.0,10.74,LCD,g,1103.21,180.87,323.22,101.17,8,2,0,4,0,0
1954,0.8,187,512,1149,700,16,3,5,No,3,quad,low,Dual,,,24.57,Touch,g,858.49,196.27,972.82,390.8,4,1,1,4,0,1
1445,0.7,174,386,836,1099,17,1,20,Yes,3,hepta,low,Single,,14.0,53.45,LCD,none,590.74,137.34,2123.44,72.25,7,1,0,1,1,0
509,0.1,93,1137,1224,513,19,10,12,Yes,4,penta,low,Dual,2.0,15.0,9.47,LCD,none,679.55,197.63,310.9,42.42,5,1,1,1,1,0
769,0.1,182,248,874,3946,5,2,7,Yes,2,penta,high,Dual,,1.0,9.89,LCD,none,354.85,428.51,1109.98,109.86,5,3,1,1,1,0
1520,0.5,177,151,1005,3826,14,9,13,Yes,4,octa,medium,Single,5.0,18.0,33.61,Touch,n,950.99,155.1,283.63,116.92,8,2,0,5,1,1
1815,0.6,159,607,748,1482,18,0,2,No,3,quad,high,Single,2.0,17.0,33.85,LCD,none,576.3,135.93,0.0,907.5,4,3,0,1,0,0
803,1.0,198,344,1440,2680,7,1,4,Yes,3,quad,medium,Single,7.0,11.0,17.84,LCD,b,511.22,531.82,3657.6,200.75,4,2,0,2,1,0
1866,0.7,185,356,563,373,14,9,3,No,4,single,low,Single,13.0,17.0,52.32,LCD,g,738.11,101.66,158.89,622.0,1,1,0,4,0,0
775,0.7,159,862,1864,568,17,15,11,No,3,dual,medium,Single,3.0,16.0,46.46,Touch,b,674.88,230.08,315.64,70.45,2,2,0,2,0,1
838,0.1,196,984,1850,3554,10,9,19,No,4,octa,low,Single,1.0,4.0,13.48,LCD,n,915.6,395.61,522.11,44.11,8,1,0,5,0,0
595,0.1,121,441,810,3752,10,2,18,No,4,triple,low,Dual,7.0,17.0,23.54,Touch,none,1189.8,229.71,1028.7,33.06,3,1,1,1,0,1
1131,0.6,101,658,878,1835,19,13,16,Yes,3,penta,low,Dual,11.0,18.0,49.43,Touch,none,729.81,121.05,171.55,70.69,5,1,1,1,1,1
682,1.0,121,902,1064,2337,11,1,18,Yes,2,quad,low,Single,4.0,11.0,19.25,Touch,a,709.37,320.77,2702.56,37.89,4,1,0,3,1,1
772,0.8,81,1314,1854,2819,17,15,3,No,3,hepta,medium,Dual,12.0,14.0,39.94,Touch,none,758.28,254.59,313.94,257.33,7,2,1,1,0,1
1709,1.0,156,974,1385,3283,17,1,15,Yes,3,dual,medium,Single,1.0,2.0,13.31,LCD,none,1081.99,252.55,3517.9,113.93,2,2,0,1,1,0
1949,0.3,199,407,822,1433,11,5,20,No,2,quad,high,Dual,4.0,7.0,47.3,LCD,b,688.74,192.82,417.58,97.45,4,3,1,2,0,0
1602,0.7,114,466,788,1037,8,7,20,Yes,4,triple,high,Dual,4.0,20.0,38.44,LCD,none,750.91,218.75,285.93,80.1,3,3,1,1,1,0
503,0.4,111,201,1245,2583,11,0,12,No,4,triple,medium,Dual,5.0,13.0,8.43,LCD,none,920.94,291.2,0.0,41.92,3,2,1,1,0,0
961,0.6,114,291,1434,2782,18,9,7,Yes,4,octa,medium,Dual,,3.0,57.4,Touch,a,817.72,184.68,404.71,137.29,8,2,1,3,1,1
519,0.3,132,550,645,3763,16,1,4,Yes,4,quad,medium,Dual,7.0,19.0,51.66,LCD,b,495.2,134.3,1638.3,129.75,4,2,1,2,1,0
